Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore	Reason for filtering out
24.21_978.8531m/z	978.8531	24.21	Accucore_C18_pos	1019609.13	2624969.90	896486.61	1279626.00	1865794.43	1875314.26	102807.29	214449.05	800573.94	1995126.13	140495.28	133830.03	1829432.33	182159.20	1010829.92	4264481.22	21685985.97	1553686.30	829744.82	458524.84	1028388.34	2039704.23	564278.47	613339.51	1080459.31	3325874.42	1188375.67	704650.31	575091.31	4730680.97	722490.34	940086.86	1364989.81	2317399.18	2138627.38	2332258.62	TG(16:0/22:1/22:6)+NH4	(16:0/22:1/22:6)	TG	C63 H112 O6 N1	24.22	978.8484	25.35751641	0.097221226	Duplicate lipid with low intensity
18.85_824.6125m/z	824.6125	18.85	Accucore_C18_pos	38877.27	43066.52	107297.00	101484.70	40801.68	152517.53	756.02	5102.74	29573.53	151191.06	3338.31	3487.05	41160.16	3006.34	107776.07	49394.74	204725.37	26920.28	15682.98	62631.09	29243.93	36952.87	23329.19	5733.24	29315.51	45114.92	26873.78	77225.85	41528.05	75548.87	82813.49	31417.45	23979.04	61451.20	55065.71	65612.50	PC(16:1/21:0)+Na| PC(19:0/20:4)+H| PC(19:0/20:4)+H	(19:0/20:4)	PC	C45 H88 O8 N1 P1 Na1| C47 H87 O8 N1 P1| C47 H87 O8 N1 P1	19.2952087272588| 18.4808095558335| 19.283	824.61397847| 824.61638347| 824.61638347	7.94168441945424| 16.4679183391401| 8.1152873926462	0.310799253034373| 0.216552631570367| 0.98499975083622	Duplicate lipid with low intensity
16.85_854.5678m/z	854.5678	16.85	Accucore_C18_pos	21119360.89	19912661.19	37198089.68	35039808.77	21307586.45	34851801.56	10868360.35	20365821.96	23268077.16	35036943.50	9982066.41	8537772.76	18687110.05	12663509.90	34561200.85	23648384.46	19570026.42	13420816.28	21896620.07	34772272.89	18638553.55	21377506.57	22616479.79	7706521.28	15373187.65	20626913.95	10988723.23	33288429.19	25717732.17	20931135.33	31680849.81	14050884.06	23193704.35	29823232.17	28805474.68	28254198.84	PC(18:1/22:6)+Na| PC(20:4/22:6)+H	(18:1/22:6)	PC	C48 H82 O8 N1 P1 Na1| C50 H81 O8 N1 P1	16.8496106136069| 16.8266153815361	854.56702847| 854.56943347	32.7169675820048| 13.3630140935173	0.197538202110803| 0.349872494214794	Duplicate lipid with low intensity
17.18_820.5868m/z	820.5868	17.18	Accucore_C18_pos	4775361.81	3688747.91	19988610.19	15358148.69	5840003.16	34372670.37	2727418.95	7139952.02	12968574.45	26329764.96	2627813.79	2243044.55	3300321.55	4004379.86	15570924.56	4938113.56	3784633.70	2614655.84	10280184.18	18351970.73	3340010.32	4126279.45	5533688.46	1042160.39	2656960.63	4070879.11	1974014.26	16699620.52	8929585.66	4612610.06	17396544.28	4288429.90	11327827.52	11291451.52	10721885.69	10900616.77	PC(17:0/22:6)+H| PC(17:0/22:6)+H	(17:0/22:6)	PC	C47 H83 O8 N1 P1| C47 H83 O8 N1 P1	16.763499008659| 17.2183861004688	820.58508347| 820.58508347	19.8829895933128| 19.8829895933128	0.221823393249105| 0.206762273417561	Duplicate lipid with low intensity
16.03_716.5243m/z	716.5243	16.03	Accucore_C18_pos	401223.11	300325.99	1630988.50	1176846.32	582419.72	3697705.52	108965.49	322214.95	591966.57	2350510.02	85226.92	83792.17	267986.46	137646.50	1208707.94	402035.04	378128.80	255303.61	511672.37	1595309.89	301624.19	372188.39	606051.98	134984.97	282217.42	328522.49	191706.33	1563964.22	617693.54	423391.83	1516657.14	400411.18	658234.30	775038.15	759940.23	789077.93	PC(11:0/20:2)+H| PC(11:0/20:2)+H	(11:0/20:2)	PC	C39 H75 O8 N1 P1| C39 H75 O8 N1 P1	15.8195458891676| 16.3263376842467	716.52248347| 716.52248347	12.5543669315029| 9.63992618206073	0.199585622844569| 0.280180377155428	Duplicate lipid with low intensity
15.22_774.5077m/z	774.5077	15.22	Accucore_C18_pos	332718.99	333276.34	1427407.52	1058879.43	341635.38	3106831.66	246606.96	542534.36	1179457.41	2289401.51	172673.66	160870.89	321727.49	278769.32	1034020.50	340146.32	128328.81	180442.38	805296.65	1082223.78	153540.45	146187.66	334153.38	34679.01	102377.20	332161.63	67477.18	1256877.78	280506.79	322057.57	1272887.91	202719.47	1083798.25	721521.22	706961.91	709351.62	PC(14:0/20:5)+Na| PC(22:6/14:2)+H	(14:0/20:5)	PC	C42 H74 O8 N1 P1 Na1| C44 H73 O8 N1 P1	15.1935764762415| 15.1999930521566	774.50442847| 774.50683347	23.1934519942781| 5.07093870489607	0.505340865622734| 0.370505557803499	Duplicate lipid with low intensity
18.13_858.6002m/z	858.6002	18.13	Accucore_C18_pos	3876484.60	4266209.29	6434846.46	6117287.83	2438952.17	7327015.19	1197683.43	2975794.12	5315083.69	6362650.60	1186365.90	977894.95	3994982.22	1521329.99	5912304.77	4663258.51	3179460.78	3122398.08	4014237.80	5572757.85	3757986.98	3737279.26	2634237.44	773009.72	2297924.32	4888419.94	1356705.96	5897669.23	3338014.14	4182297.54	5970191.21	2141734.23	4715239.26	5372978.11	5196772.75	5184779.45	PC(18:0/22:5)+Na| PC(20:2/22:6)+H	(18:0/22:5)	PC	C48 H86 O8 N1 P1 Na1| C50 H85 O8 N1 P1	18.0945781986434| 18.107	858.59832847| 858.60073347	26.7333333333332| 4.24033598868063	0.275139998300529| 0.821731873573025	Duplicate lipid with low intensity
16.76_788.5592m/z	788.5592	16.76	Accucore_C18_pos	114283.23	164593.86	209482.29	182773.25	51362.56	167981.56	37003.22	91554.52	145241.70	231631.65	32753.64	30610.02	148818.14	44646.69	187642.80	138810.55	65887.18	128293.89	109347.16	105786.34	121665.52	90968.66	58124.40	20940.58	52897.24	194105.04	30451.06	154773.89	51704.61	121081.21	156335.44	44473.06	119219.31	138814.13	136807.60	130330.45	PC(16:1e/20:4)+Na| PC(16:2e/22:6)+H	(16:1e/20:4)	PC	C44 H80 O7 N1 P1 Na1| C46 H79 O7 N1 P1	17.1503987364906| 17.1531936425263	788.55646347| 788.55886847	15.5753852600084| 12.9895090078253	0.0738204383545308| 1.03377669255663	Duplicate lipid with low intensity
16.12_742.5406m/z	742.5406	16.12	Accucore_C18_pos	639671.72	341445.78	3457424.26	2322078.10	889219.56	8005254.39	207346.12	662075.87	1414535.77	5114935.10	216652.65	213350.27	299320.12	468169.65	2329567.35	530605.54	484056.44	499436.80	1651125.79	3433741.92	403919.99	577676.81	906905.98	154372.38	357922.81	403761.31	336214.24	2038709.76	2590879.96	617267.57	2223480.95	845660.16	1440416.24	1555471.04	1502190.39	1540552.53	PC(15:0/18:3)+H| PC(15:0/18:3)+H	(15:0/18:3)	PC	C41 H77 O8 N1 P1| C41 H77 O8 N1 P1	15.7570079809335| 16.1317475962957	742.53813347| 742.53813347	9.63992618206073| 19.8829895933128	0.466169458528439| 0.29635666993789	Duplicate lipid with low intensity
16.49_790.5753m/z	790.5753	16.49	Accucore_C18_pos	766081.60	770121.03	3054073.15	2225710.04	537989.15	4657485.68	296032.53	725038.51	1621883.97	4917446.55	278824.48	239133.93	611901.67	369671.60	2247388.55	883344.14	604366.62	628797.22	1055852.18	1774670.31	778189.80	699936.71	507099.92	139705.79	403212.42	762042.17	232956.78	2465264.20	802105.54	833865.04	2528061.36	350293.97	1220973.50	1434016.33	1391703.07	1394183.75	PC(16:1e/22:6)+H	(16:1e/22:6)	PC	C46 H81 O7 N1 P1	16.47	790.5745	18.33402482	0.105171241	Duplicate lipid with low intensity
